reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOG39TEREh0oVg6Xv15I4188G0CV3l6HoKNSjNdArZu_GGG0NAYPKCEaclsHKf0J42i260wevKfcE8KCbw,* Stevie_Jebs *,bad,1,0,,10/2/2020 1:28,,,com.zhiliaoapp.musically
gp:AOqpTOFFKpTxaR1U-BOBQlsLzAYDQ3ppz_2oC-Fwu8ODHqbceRB5x9W5briE2pehBsehRiUM8Ec49tvrufuTVg,Karan Singh,worst app ever,1,6,,10/2/2020 1:23,,,com.zhiliaoapp.musically
gp:AOqpTOHpnXqHmO2gvB7rNxtWmHLhmw2Hxrd5DnBnbWv6QhEP0pcUFqAHKLSBTlwcsJCYiZSER4wZy16t-Z9wtg,imene's cute,Where is Algeria stickersðŸ˜ ðŸ˜¡,1,0,17.6.3,10/2/2020 1:22,,,com.zhiliaoapp.musically
gp:AOqpTOGztOfYS5a1SHWi9ImMQSLBgG_zACwNuHU_xCWEI0hzlOge55cOOwcJHgkHzlbMfUME6MhnvMvcFa6v7Q,JEKI GAMING GAMING,Fazool,1,0,,10/2/2020 1:21,,,com.zhiliaoapp.musically
gp:AOqpTOFEoc2eXa-vS2O3XIt6liP7zME8EQa_fhdmifiUSe8L2bdxQaagnMkYLw-Y7ndf5Y6ZdyovXd1YOzOZkg,GMDRubyJustinTimeDizzy Cheese Playz UwU,"Well We're is mic for duet for Android plz update and plz where's layout plz update and the new song thing we can't use songs that are commercial for use update now and plus we can't have the stitch feature update or I'll report and I got a community guidelines strike so I'm reporting you ok ;) and I messed up my name now I got to wait 30 mother freaking days I'm reporting and some effects only work on other devices go get cancer, and also I had a privalage of iOS tiktok now I don't just go DIE!",1,1,17.6.41,10/2/2020 1:12,,,com.zhiliaoapp.musically
gp:AOqpTOH-a46lytxrUEkBu6vkHYOODfVpGzYXHaSeYPI8nXOve9cABS-QojQ2aqbb0uO3yoj8QGV_zDP9rsKUeg,OT7 ARMY,I love Tik Tok and I would give it 5 stars except for one thing. I can't add record audio when doing a duet. Other creators can but I can't. Everything is updated my phone and the app. Everything is allowed on the app. I'm not the only creator who experiences this issue either.,1,0,17.6.41,10/2/2020 1:11,,,com.zhiliaoapp.musically
gp:AOqpTOE22NJkusISZg79OcZxRrL9oq93N9fsClwsu0oRY-tRBYZ98aS6c-1ib_qXBZLaUymUINJ6nJ5ufz_w2w,Brent Sedlar,It's super bad and derpy and really scary,1,0,,10/2/2020 1:11,,,com.zhiliaoapp.musically
gp:AOqpTOE2KSdO9wnco6Kru12RSsyePRFFQmKJ-4nRRHVw3A-yymyD6bKbbhib5rxI27oOmoVNdT4D7-iviNB_Cg,Xsitescript,"Tiktok started out funny, addicting, and with original content..but it has become a bunch of reaction videos, copy cat videos, and desperate people seeking attention by doing the same few dances over and over.. not to mention the disturbing amount of kids without adult supervision.",1,0,17.6.41,10/2/2020 1:03,,,com.zhiliaoapp.musically
gp:AOqpTOG9hEgQcav-V_F4o4csZ5ejGbW6fJhQlNkYHCDHHj2HySe9MLdvB4eoY3Dotuxojk7OIgtkJw2aGHrPDA,N JAY,To Much Enough is Enough why my video not shown for u. Only Shown in Follow I complain it lot of time no response . My ID @mnabeeljaffri are u fix it or I delete Tiktok.,1,0,17.6.41,10/2/2020 0:57,,,com.zhiliaoapp.musically
gp:AOqpTOE8VzeSBRncwjSsSI3Y16WAe_zvDIs7dU7kflbPpsy_DsVkI5XkQ8diFBSzMNA0aYWAmhDs0qgvORONkw,Jordy ',Why would you take off the feature of the mic while you're dueting a TikTok,1,1,17.6.41,10/2/2020 0:48,,,com.zhiliaoapp.musically
gp:AOqpTOF7Ro0CLyoH1HbN9Hugz7oSN2US5Nnrs-lY9tD1a9TDRfxSFdUPPKoBQP8t6qwn9us08OvRt69VOzAfQQ,Adam Afxal,Bad,1,0,,10/2/2020 0:44,,,com.zhiliaoapp.musically
gp:AOqpTOFcGxZkpa4jerZ-ZgztNuGkq0do_ZrE-jSCVJgzf1j5PPwwG9qWjXaRPZabJBrRX-dotjrDsVjTBd0pFA,Daleena Nibbs,Daleena 7,1,0,,10/2/2020 0:42,,,com.zhiliaoapp.musically
gp:AOqpTOF-dt_otQMMpiu9NKvQrirC04hxrnbV989B_dWav4uCeuHXKBAw30ISfYyZ8u1noCReLydnuR9RQdf1eg,Nolan Bautista,trash,1,0,,10/2/2020 0:37,,,com.zhiliaoapp.musically
gp:AOqpTOGZSjg2JEZETRg_vvvXA7fY0b5nC9bODoiRlqvZ1gcc1xOmmZts56R6Ncb9au99-FC99KyqHSntxSiIsg,Gavriloaie Dumitru,So I had this app but I deleted because its getting very disgusting. And also there is alot of drama and anapropiate dances so like I really don't like this app so that is why I'm going to be deleting it i hate it im sorry but I too tierd of this. Like to much drama I can't stand it sorry ðŸ˜.,1,0,,10/2/2020 0:36,,,com.zhiliaoapp.musically
gp:AOqpTOEJGsA0yD5GIcj4ZMzyDuYnrLJkRCsj-Pxyd4EurTr5YdAg13impOmGIj2bPI2aqgs843Jpv-s1VTOw7g,Jamie Lynch,INAPPROPRIATE,1,0,17.7.4,10/2/2020 0:26,,,com.zhiliaoapp.musically
gp:AOqpTOHZBEHCe7LxLQUBtz7-bCSlgyCueFyGenA73vY4jpNLtTroc8GsSp5h_2Q2_RiwKYmfA8hdm1JwBleTCg,A Google user,Not able to install it again because of my country.,1,0,,10/2/2020 0:24,,,com.zhiliaoapp.musically
gp:AOqpTOGt0NEUbtKoaQAiUgIcoVdItqUEiqrK2cCuOJJGpAicKqaPMmQO9EhBkloX02sm2Ahe4ZPcqqDHmQlA6A,MonsterGamin99,It sucks,1,0,,10/2/2020 0:21,,,com.zhiliaoapp.musically
gp:AOqpTOHviwR7oEhjIEpIJHV-IA_gH6tf88ATGCfu_Ok7Jlr_qUV-aWEgp_bCjrjnaqXHX56n-F8_PCdHSkiWzQ,ProMaster96,Poo,1,0,,10/2/2020 0:21,,,com.zhiliaoapp.musically
gp:AOqpTOEZKgCiFlcWSO5EHzuMzUqDoBOkpP-ViAoVaWCV_OcqcxUbKPqLrgJ2YHTNjm6TK5pBWNt_HdZRNmfmfw,kenzy Karim art and musicly Karim,I don't like this app really bad every body no install this app I give one star,1,0,,10/2/2020 0:19,,,com.zhiliaoapp.musically
gp:AOqpTOFX62Hv6dyaTMffiRO7uohnyGPF3xEevoD_0AbYvoJjLESMJ9YNhIHWG_2ALLzLN7phrA0uAv1KbOeIXA,hesam yazdani,Hi i cant enter this app when enter my acc say you dont have network i cant enter the app why I want go to site from explorer when click add video say must install app,1,0,17.6.41,10/2/2020 0:12,,,com.zhiliaoapp.musically
