reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOExpPl57NDxsjgnNz0FqkXRjJjxNqw-qxpH19rDS9YtpTKZjgAeoIHUxfOjg64V-C1ar4ETQvs2da9sU5g,Swagatam Ghosh,It is a very good app,1,0,,10/2/2020 4:14,,,com.whatsapp
gp:AOqpTOG1E3fHe9XcpIwKzWq89VDhohTuGihWoUKvSmrNmBbZFWxE6JK9vC0IllY56gGU4X5X-AukyruYaQ-nnWo,HRX 1,Updating very bad your contacts wash .,1,0,2.20.108,10/2/2020 4:13,,,com.whatsapp
gp:AOqpTOE0w_HPUXwFDxBxVFHy0BhKihiOVB0mJVFi8cmvE8YiKeHsrEIonqoCTYAxexwmkAKACtE6KS3F83Ib11g,Suvankar Das,If the chat is end to end protected then how the news channels getting the data. ?,1,0,2.20.200.20,10/2/2020 4:11,,,com.whatsapp
gp:AOqpTOEEetIC0JjhwdEmCN1bMtrkDsQgXi8y7aOnYKTAwBS_J3A4FuqCap1X8v4MaCmPGnYACOIyXq6U1_T46D8,Sk sahip,Good good,1,0,2.20.199.14,10/2/2020 4:11,,,com.whatsapp
gp:AOqpTOFySpwutRE65OeIml6nzwtxABD_z2US_2aeaz76VNxjaQIdgkMPwxgjD5o-55VhTw5uE9xBgafa1K1RKtE,manoj kadu,Very bad for society,1,0,2.20.200.22,10/2/2020 4:10,,,com.whatsapp
gp:AOqpTOGlc2_3MXOFNKXXDBm34UIlxthjh4hGzctsiy9LlbG8_wJbU8jOvlXmLY7nqimI51hAPAulV-zxvcLFG_Y,amaya acevedo,WhatsApp hasn't been working for me lately I'm not getting any on my notifications and it's not helpful at all when it's an important message in also read all my messages like an hour later after receiving them and I'm also not getting my group calls or any call pls fix this cause the app itself is really good,1,0,2.20.200.22,10/2/2020 4:09,,,com.whatsapp
gp:AOqpTOG2TxxstaIB0ytymRM3Xke3rfrAdVz-FNGKI1Lf5bkI_UOXioZChGZ2s18iJMZQbexsQ20TRQvxYADStFw,Raju Kumar,VR.,1,0,2.20.200.22,10/2/2020 4:09,,,com.whatsapp
gp:AOqpTOGSWRRLnLCiVcWNASinmGrZUdjTjBSkPIVQV0kR24wEyijDS8dWfzhoX0opmw2QsSR2zTS9Du6jCqPB5hY,Suda Vasave,Ngl,1,0,2.19.159,10/2/2020 4:09,,,com.whatsapp
gp:AOqpTOEQlJHd7wiGk1FAJmPwYW1jnPOvwr5b7iMHfzoiecrPS1EQBEF3wIvfn4NxGhZIpcU_TDw1HwVw3Pz9_bU,super Sankar,Bad,1,0,2.20.197.20,10/2/2020 4:08,,,com.whatsapp
gp:AOqpTOFMeFn7EeRSCrC1T_FX2GuPaS2uTS4Amjms9JHTTQQAO2T12ZI0qgb-2rX_VnHBFSQLZlogB4p5pUpkho0,Mahesh Kumar,"Unable to broadcast message since last update. While sending, broadcasts group doesn't appear.",1,0,2.20.200.22,10/2/2020 4:08,,,com.whatsapp
