content,appId
Some funny ones...but other than that...it's just a bunch of young teens trying to sexualize themselevs,com.zhiliaoapp.musically
Good,com.zhiliaoapp.musically
Nul,com.zhiliaoapp.musically
rtrt,com.zhiliaoapp.musically
This make people stupid,com.zhiliaoapp.musically
one of my favorite apps,com.zhiliaoapp.musically
Ff We B F K E,com.zhiliaoapp.musically
"NO standards,People posting videos of damaging property,people's genitals popping zits, this app is disgusting and Not for kids!",com.zhiliaoapp.musically
"**Previous review was 2 stars. Then they got caught data mining every user that logged on. It's mainly just a lot of girls waddling around. Some are good dancers, but it's mostly... waddling. Oh, and making a motion like you're eating soup gets extra likes or something. It's strange.",com.zhiliaoapp.musically
Pepole always arucing with me,com.zhiliaoapp.musically
Hate it. Bunch of garbage. Sends too many notifications.,com.zhiliaoapp.musically
They deleted my 1 star review,com.zhiliaoapp.musically
The worst app in the world DO NOT DOWNLOAD,com.zhiliaoapp.musically
"Some content is ok, the rest is cancer",com.zhiliaoapp.musically
When i try to post it tell's me im posting beer but im not im posting child friendly its about child stuff not beer.,com.zhiliaoapp.musically
not leting me download it,com.zhiliaoapp.musically
Model,com.zhiliaoapp.musically
It sucks,com.zhiliaoapp.musically
Baler app,com.zhiliaoapp.musically
BakwaasðŸ¤¢ðŸ¤¢ðŸ¤¢ðŸ’©ðŸ’©ðŸ’©,com.zhiliaoapp.musically
"Algorithm doesn't work anymore. I had my FYP the way I liked it but suddenly an update happened and it turned into this mess. I tried everything such as liking contents, commenting, sharing, etc but all I see is videos with contents that I do not like. This happened a few times and I was able to change it back to normal, however it happened again for the last time and now I'm stuck with this giant mess of a For You Page that I hate. It makes me not wanting to open the app anymore.",com.zhiliaoapp.musically
Itâ€™s best entertainment apps,com.zhiliaoapp.musically
Taking down too many videos and channels for no apparent reason and claims community guideline issues but won't say what ones.,com.zhiliaoapp.musically
Outstanding app and i really njoy this appðŸ‘,com.zhiliaoapp.musically
I hoped the app would've gotten deleted,com.zhiliaoapp.musically
I demande a refund not tiktok famus,com.zhiliaoapp.musically
Trash app. Girls should go to jail.,com.zhiliaoapp.musically
Its just good,com.zhiliaoapp.musically
Lado mero xakkey ko lagi ho yo application,com.zhiliaoapp.musically
I like this app because i truly recognize the lunatics in our social ðŸ˜‚ðŸ˜‚ðŸ˜‚,com.zhiliaoapp.musically
7 vez escrevendo que Ã© ruim,com.zhiliaoapp.musically
this si trush,com.zhiliaoapp.musically
Like ma video plz,com.zhiliaoapp.musically
"This app is a waste of time and it steals huge amounts of your data, and it's not even funny.",com.zhiliaoapp.musically
I hate this app my daughter has old men watching her so don't get this appðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜ ,com.zhiliaoapp.musically
This sucks I keep signing in I'm just a kid i wanna check this is out but I hope this app gets destroyed cuz not letting me sign in first birthday easy. My birthday is sep. 29 2020. BUT. They don't let me SIGN IN,com.zhiliaoapp.musically
ÐŸÐ¾Ð»Ð½Ñ‹Ð¹ ÐºÐ°Ð»Ð»,com.zhiliaoapp.musically
Worst appp,com.zhiliaoapp.musically
There so bad videos,com.zhiliaoapp.musically
Bad security,com.zhiliaoapp.musically
Needs 400mb like what I was 100 mb,com.zhiliaoapp.musically
Salmanjutt,com.zhiliaoapp.musically
Just why? It sexualizes girls and women by doing dances that can be construed as sexual. Keep your kids innocent and stay away from this app.,com.zhiliaoapp.musically
This app is not working every time I try and post it does not post,com.zhiliaoapp.musically
At first my rating was 5 now my rating is 1 because I have to sign in and my mom doesn't agree with me having a tiktok account so now I can't watch tiktok videos,com.zhiliaoapp.musically
For new user don't waste your Time change on other platform. Third Class App no One can Get on Viral ðŸ˜‚ i suggest you can change the app.,com.zhiliaoapp.musically
Its a nice app,com.zhiliaoapp.musically
It won't install,com.zhiliaoapp.musically
"The app is garbage. It's just filled with people being sexual eiyh underage children watching it. If you are a parent reading this, don't allow your kids to get it.",com.zhiliaoapp.musically
Useless app,com.zhiliaoapp.musically
Only 3 genderes come in this app,com.zhiliaoapp.musically
Bat app,com.zhiliaoapp.musically
Takes down videos that aren't even remotely bad but they keep up videos of racist and people saying they want to shoot up a certain race,com.zhiliaoapp.musically
Hahahaahha,com.zhiliaoapp.musically
Acopel days I had to do mi emmal bit i siÄ™ nothing,com.zhiliaoapp.musically
Bad for under 10 I saw people kill them self on this app ):,com.zhiliaoapp.musically
poop,com.zhiliaoapp.musically
it's impossible to sign up for an account ðŸ˜ðŸ˜£ðŸ™ƒ,com.zhiliaoapp.musically
ass,com.zhiliaoapp.musically
IT SUCKS,com.zhiliaoapp.musically
Tik tok is horrible and toxic. DO NOT download.,com.zhiliaoapp.musically
"Waste of time , creater and viewer boths are wasted their time",com.zhiliaoapp.musically
Such a boring app its a ripoff of instagram and snapchat,com.zhiliaoapp.musically
binita,com.zhiliaoapp.musically
Won't let me post a video of anything at all,com.zhiliaoapp.musically
It sucks,com.zhiliaoapp.musically
Umar the game is the best way Sex post some thing about it,com.zhiliaoapp.musically
Only problem now tik tok for u option not see the topers videos plz check it,com.zhiliaoapp.musically
Nice and comedies,com.zhiliaoapp.musically
ues less,com.zhiliaoapp.musically
ðŸ’¥ðŸ’¥ðŸ˜¡ðŸ˜ ðŸ˜ ,com.zhiliaoapp.musically
I got no followwr,com.zhiliaoapp.musically
Boring apps,com.zhiliaoapp.musically
It swears not good,com.zhiliaoapp.musically
I can't upload Double express ðŸ˜¥ðŸ˜¥,com.zhiliaoapp.musically
Why do not view in my tiktok chenel,com.zhiliaoapp.musically
world,com.zhiliaoapp.musically
I came here for FreeFire videosðŸ¤£â¤ï¸,com.zhiliaoapp.musically
5 stars once this tiktok deal goes through,com.zhiliaoapp.musically
It's cin,com.zhiliaoapp.musically
I can't delete my video,com.zhiliaoapp.musically
Bakwas,com.zhiliaoapp.musically
Best,com.zhiliaoapp.musically
Vary good,com.zhiliaoapp.musically
ðŸ˜±ðŸ˜¡ðŸ’©,com.zhiliaoapp.musically
Worst app ever my videos pixel is very low when i download my video,com.zhiliaoapp.musically
